0,1,2,3,4,5,6,7,8,9
535353,UCZTyhkfa0S9MAAqfQoUbRpQ,4.0,1719,22,0,False,2010-01-23,,2019-03-01
54321Truth,UChFIG7II4osW_BPFyGpQBxA,97.0,38498,25,1,True,2009-11-21,,2019-03-01
59erluis,UC41v3VxGkAC6ZQ6WZvefv2g,4835.0,5717232,45,0,False,2008-02-07,,2019-03-01
5 IDEEN,UCXTTZIvh1UAlf0kv6XHvOtg,154000.0,6911711,321,0,True,2015-05-07,,2020-12-01
5x5,UCaunu5TduRN22OXgdGEEayQ,11200.0,27650,160,1,True,2019-09-15,,2020-10-25
616Hell,UCnOGGrdhFkw9wOdeerTAiYw,2626.0,10424134,53,0,True,2006-08-07,,2019-03-01
6oodfella,UCBVYmXSIzHq_gXMZpsfd9kg,23800.0,4415048,913,420,True,2010-06-20,,2021-07-27
70beaterr,UCQ2suPzWcRK9KS-qlyOS4gQ,38.0,9586,9,0,False,2009-12-01,,2019-03-01
715 Tactical,UCeTYU9rGWMwMO5wQH50pi2g,12600.0,3697439,71,0,True,2012-02-02,,2020-05-06
7Distrito,UCRFfjXALQbw8CKLWEiu4F4A,1519.0,2282472,25,1,True,2008-09-22,,2019-03-01
7I6R94F,UCRiwpWTZ663xEHal5VMjf1Q,242.0,343885,9,0,True,2007-06-22,,2021-02-05
82Bergen,UCGrUuDYwaS_mUD033gRtDgw,13.0,44442,3,0,False,2010-05-21,,2019-03-01
88PaganWarrior,UCITcPUvvGgRslOjrUVU9tTQ,24.0,12746,2,1,False,2009-07-04,,2021-07-27
88th Generation Black Death Survivor,UC1BhKxiX-llUv0dF5T3Ekfw,407.0,9279,13,0,True,2011-09-30,,2019-03-01
899alim,UC2L-IXXIA0SnyCM-bNs4oqQ,0.0,213,2,0,False,2011-07-15,,2019-03-01
89xFTC7,UC5SoO00Pg03SyTBQSkvq9-w,149.0,27128,20,1,True,2010-08-29,,2019-03-01
91177info2,UCHNElk5CtQHVzhH0iGGtGbQ,2560.0,1279144,61,0,True,2010-08-23,,2020-09-27
911familymember,UCzkjJmx2_DPJguY2gQ3ptdg,2240.0,640957,13,0,True,2014-05-12,,2020-09-27
911MATRIXX,UCR_eFdecmd87s9Z4o-M2i2A,141.0,125278,3,0,False,2007-06-27,,2020-01-24
911Pilots,UCmccFLj0_5XNZfzxc8vfhqA,383.0,5567,36,1,True,2020-02-21,,2020-04-17
911 Truth,UCFYKuUP6G_uBWuBC5v89xlQ,2035.0,249406,34,0,True,2015-03-20,,2019-03-01
911TVorg,UCBNkFkGVljRCqdZAu1-4eeg,16551.0,2788985,359,0,False,2011-09-04,2020-06-11,2019-03-01
951 Info Warrior,UCKlNdst4bzvS0IgdEONzLgg,1.0,195,15,0,False,2019-02-15,,2019-03-01
999solomon999,UCQp-tB5Ih824bUhP06clIvw,2290.0,544854,409,1,True,2008-08-15,,2021-03-28
99IronDuke,UCorW2q9hElbr3ThpxNA6WOg,289.0,6197,63,0,True,2009-11-16,,2021-02-01
9gjallarhorn9,UCCAwE9X9J58BTHJA90pmD2w,394.0,706599,16,0,False,2009-07-18,,2019-03-01
A0506,UCKBw1HWtJESYrFdtoZnY02A,126.0,67517,380,378,True,2020-06-05,2021-01-06,2020-11-30
Aad Dammer,UC7dDCGi4eIBofi94cyblgtg,27.0,18965,2,0,False,2014-07-14,,2019-03-01
AALinaBartel1488,UCOG1tNH44Me6a_Bu9Z7EpmA,11.0,10999,2,0,True,2009-03-03,,2021-03-07
Aaron Kasparov [B],UCX86p0RCLPZBux9Yfl3X5MQ,3536.0,62136,16,16,False,2015-04-14,2019-10-13,2019-03-01
Aaron Kindsvatter,UCAS2ypwwocDXMLQgdQlePvA,535.0,15946,3,0,False,2015-07-26,,2021-03-17
AARON SHARON,UCzxxz-bhqkGCN5SxT2XRVoQ,14.0,3076,44,31,False,2012-05-03,2019-06-05,2019-03-01
Aaron The Proud Boy,UCSf5muM_44EK-w3YLpfEGaA,90.0,37492,59,7,False,2015-12-25,,2021-06-22
A Batey,UCVnnL_G-qxGINJ5e61ajhwA,446.0,202037,14,0,True,2009-05-07,,2019-03-01
Abbas Hadi,UCaURo1SynhthPE8FfPyiBiA,80.0,10546,1,0,False,2017-08-13,,2019-03-01
Abbé Guy Pagès,UCfi1Bk5S5H9HDoeuVt1Nz1A,0.0,901085,553,4,True,2017-09-11,,2019-09-19
Abbeville Inst,UCWwfaPb0DP3VGbCPP3sWLqg,4331.0,387059,390,0,True,2012-12-10,,2019-03-01
